product_id,category,weight,fulfillment_type,price,popularity,weather_exposure,avg_days_to_ship,sales
AA106,5,79.35,1,267.76,0.6208,20,9,10391.24
AA159,2,22.08,1,522.4,0.1301,11,4,29798.3
AA292,4,21.75,0,354.77,0.1818,6,3,15260.8
AA419,4,16.76,1,252.83,0.0552,13,6,19549.41
AA619,2,18.74,1,332.81,0.1829,0,5,38130.76
AA728,1,33.82,1,583.05,0.017,0,5,12939.14
AA743,1,18.07,1,516.2,0.0472,15,5,7295.48
AA817,1,42.15,0,455.94,0.1048,7,2,29773.23
AA893,2,33.83,1,500.21,0.0904,6,5,12663.12
AA913,1,127.46,1,574.36,0.3886,16,9,57821.06
AA975,1,26.39,0,575.72,0.1214,7,4,17720.44
AB001,1,42.95,1,681.02,0.135,8,6,42173.1
AB008,2,35.84,1,484.11,0.2012,10,6,28205.24
AB017,2,125.87,1,546.11,0.0656,7,8,30966.77
AB020,1,28.26,0,520.97,0.3805,4,3,86027.88
AB096,2,26.89,1,417.1,0.1639,21,8,11999.24
AB174,2,63.96,1,504.95,0.012,7,7,10143.7
AB257,1,25.54,1,484.08,0.0644,3,6,14558.11
AB385,6,0.47,1,37.39,0.3089,8,4,7514.25
AB405,3,10.18,1,286.01,0.3092,5,5,30865.01
AB537,4,8.1,1,317.97,0.3764,20,8,32097.33
AB557,6,2.22,1,63.49,0.0454,15,5,10076.14
AB589,1,57.58,1,696.43,0.1274,17,7,19901.89
AB733,2,14.86,1,453.33,0.1663,3,4,45788.87
AB824,1,29.07,1,373.32,0.1584,0,5,54468.15
AB837,5,15.94,1,232.81,0.0252,7,6,8814.3
AB873,2,58.18,1,475.93,0.5139,26,9,28906.14
AB941,1,140.25,1,786.13,0.1048,26,11,8739.74
AB986,2,205.16,0,697.68,0.1522,3,8,14645.99
AC048,3,52.06,1,396.4,0.1114,0,5,17262.48
AC119,2,54.8,1,519.58,0.0074,4,5,21292.35
AC151,1,52.68,1,583.29,0.4537,1,4,183614.61
AC182,2,75.53,0,336.53,0.0761,3,6,11774.01
AC237,5,84.71,1,326.05,0.1766,13,7,12632.25
AC352,3,28.8,1,417.76,0.118,0,3,32460.12
AC519,1,36.33,1,387.23,0.0938,1,5,21100.6
AC556,4,24.08,0,358.36,0.1072,0,3,50459.05
AC598,2,29.54,1,453.83,0.4119,22,6,86829.87
AC701,5,17.69,0,175.29,0.3382,2,2,42862.64
AC737,6,1.29,1,53.38,0.1824,28,9,4141.45
AC757,1,91.39,0,742.88,0.2699,1,4,73915.7
AC762,1,65.02,1,616.79,0.0683,0,5,25838.37
AC912,1,54.74,0,526.9,0.2801,8,5,59444.8
AD038,2,90.57,1,569.65,0.2542,5,6,22512.53
AD117,5,52.94,0,200.24,0.2177,0,3,55982.24
AD146,4,17.17,1,405.9,0.4079,29,9,20695.44
AD259,2,46.71,1,595.15,0.0198,1,5,32086.9
AD280,1,33.18,1,620.75,0.0002,18,7,65990.85
AD325,4,54.33,0,444.05,0.2386,21,6,39800.87
AD377,4,65.81,1,350.58,0.0017,5,6,10558.72
AD414,1,34.6,1,322.32,0.0644,0,5,22319.89
AD434,2,43.53,1,495.64,0.0347,2,5,17267.64
AD553,2,64.01,1,558.27,0.0401,7,6,5282.97
AD577,1,35.2,1,350.87,0.1338,6,5,10470.93
AD600,6,0.29,1,45.92,0.0712,2,5,24714.84
AD793,5,12.7,1,229.81,0.2749,9,4,25223.73
AD801,5,24.15,1,207.04,0.1408,2,5,5686.07
AD837,2,58.72,0,446.19,0.0848,0,3,17799.28
AD891,4,20.41,0,312.9,0.4809,1,4,23941.69
AE062,3,42.03,1,448.63,0.4222,4,5,36935.38
AE373,3,12.53,1,382.17,0.2082,30,7,14162.61
AE613,1,54.37,1,577.6,0.1384,2,5,12210.75
AE753,4,12.36,1,281.85,0.1193,6,5,13538.4
AE822,1,22.01,0,529.69,0.1091,4,4,39341.98
AF204,3,75.81,0,453.37,0.1295,9,6,20101.19
AF273,5,28.15,1,230.07,0.003,6,6,8712.73
AF311,4,20.78,1,258.86,0.3,0,3,35890.06
AF336,3,33.98,1,269.79,0.0486,8,6,52901.49
AF395,1,14.74,1,446.55,0.0334,26,8,6980.17
AF525,3,28.82,1,355.48,0.643,7,5,66648.98
AF536,3,17.41,1,340.07,0.0415,4,5,23566.42
AF708,4,59.98,0,447.01,0.1314,14,6,23762.54
AF734,3,36.38,0,375.51,0.0895,4,3,18330.12
AF831,5,33.69,1,260.69,0.516,6,6,48442.85
AF855,1,59.38,1,466.71,0.1253,19,7,9383.97
AF882,1,40.54,1,535.86,0.1995,19,8,5269.03
AF993,1,66.08,1,623.69,0.0258,5,6,6529.55
AG036,3,12.17,1,388.07,0.3498,6,5,18867.69
AG136,1,86.05,1,627.04,0.217,4,5,28632.83
AG196,5,26.47,0,230.09,0.0831,5,5,33845.33
AG250,6,1.02,1,47.63,0.3268,7,5,10284.98
AG298,4,38.82,1,413.61,0.1175,7,5,18449.25
AG306,2,69.42,0,448.3,0.1513,0,4,48315.6
AG477,5,15.34,1,218.26,0.1658,14,6,20464.47
AG480,1,94.23,0,519.12,0.0862,4,3,33187.1
AG502,1,22.38,1,522.01,0.1222,7,5,12496.95
AG533,5,32.65,1,200.41,0.1476,0,5,10550.2
AG555,1,37.81,1,600.48,0.0368,3,5,12748.93
AG569,3,25.72,1,338.87,0.2191,1,3,21014.52
AG678,4,14.48,1,344.66,0.031,0,5,6640.25
AG680,2,32.27,1,441.99,0.2581,26,7,8304.13
AG832,3,20.43,0,260.43,0.0202,23,7,6567.34
AG922,2,43.09,1,406.5,0.0307,1,6,19125.18
AG941,4,35.11,1,279.81,0.2614,0,6,48080.78
AG993,4,22.84,1,327.92,0.0637,20,6,29451.82
AH030,4,8.93,1,279.91,0.2181,28,7,21590.99
AH377,1,18.02,1,428.18,0.1284,7,5,23196.3
AH505,2,40.39,1,520.28,0.0241,5,6,28006.82
AH522,2,93.64,1,378.69,0.2207,12,7,29735.39
AH558,2,98.35,0,556.65,0.3792,7,6,78899.48
AH594,4,17.09,1,280.07,0.2307,15,6,15853.23
AH617,4,17.78,0,303.41,0.3219,0,2,27394.09
AH656,3,22.05,1,177.05,0.116,27,9,6739.36
AH686,1,47.61,0,573.3,0.2514,4,4,43202.31
AH697,3,34.91,1,357.35,0.3588,4,5,32472.86
AH764,4,21.55,1,315.9,0.1392,1,4,22177.82
AH769,5,17.53,0,243.37,0.3387,0,2,46333.62
AH981,2,24.05,1,382.82,0.0172,6,6,10508.22
AI025,1,165.63,0,780.13,0.2772,21,9,17946.2
AI032,5,32.93,1,272.55,0.2676,27,8,19679.4
AI166,4,65.87,1,379.36,0.0244,2,6,17350.6
AI244,1,34.24,1,715.17,0.0763,2,4,34155.11
AI469,5,18.37,1,262.76,0.1102,3,4,22294.89
AI485,1,102.9,1,733.96,0.1852,1,6,38925.26
AI534,6,2.42,1,51.9,0.4349,9,5,31063.04
AI538,5,60.48,0,238.37,0.2567,29,8,10788.52
AI553,1,68.82,1,566.66,0.0001,13,8,6820.89
AI624,4,52.26,1,381.62,0.0779,13,6,16560.28
AI739,3,25.54,0,382.78,0.1217,5,3,8501.7
AI782,2,33.75,1,411.42,0.6448,8,5,57427.52
AI904,1,100.51,0,677.33,0.0235,20,7,16311.98
AI962,1,49.99,1,466.16,0.0629,4,5,25272.64
AI996,6,0.68,1,48.52,0.0116,4,5,3658.11
AJ053,6,0.97,0,38.13,0.0886,6,3,5125.15
AJ083,1,29.59,0,481.5,0.0629,16,5,8401.6
AJ168,3,53.4,1,474.97,0.0602,0,7,14370.43
AJ324,2,60.64,0,370.91,0.011,0,4,22306.79
AJ329,4,26.6,1,326.14,0.2818,5,5,16136.65
AJ365,5,56.9,1,254.8,0.161,1,5,16675.16
AJ467,2,100.83,1,613.27,0.3279,6,7,36605.93
AJ469,3,51.69,0,377.49,0.024,11,4,19378.13
AJ498,4,10.32,1,327.64,0.2858,14,5,18515.03
AJ619,2,57.59,1,457.7,0.2299,28,8,38647.42
AJ628,2,49.29,1,520.54,0.0593,13,8,25318.47
AJ708,1,43.06,1,557.02,0.049,7,6,15067.87
AJ786,5,97.1,0,347.5,0.0045,18,7,26843.42
AJ800,1,18.88,1,488.68,0.032,0,3,70650.07
AJ923,2,65.87,1,504.38,0.0812,1,4,27438.66
AJ931,2,133.66,1,550.39,0.4173,5,7,28869.1
AJ996,1,51.23,0,549.11,0.3148,5,3,61756.54
AK008,1,15.06,0,281.68,0.2772,22,5,40028.79
AK012,4,18.74,1,318.99,0.3079,1,4,33070.31
AK032,1,21.73,1,496.5,0.1531,4,5,7290.73
AK049,2,38.27,1,482.53,0.0029,7,7,24337.55
AK104,3,39.74,1,363.17,0.1725,9,7,6653.32
AK107,1,53.72,1,565.02,0.171,2,5,26904.02
AK184,3,14.09,1,150.95,0.5453,4,4,63147.92
AK243,2,30.92,1,363.94,0.023,10,6,11893.73
AK286,1,59.18,1,481.97,0.3954,15,7,21720.23
AK425,3,23.65,1,459.68,0.1236,4,6,8612.34
AK427,1,53.8,1,695.93,0.0849,10,7,36286.46
AK453,2,119.66,0,655.5,0.4568,2,4,33642.83
AK454,2,33.2,0,269.83,0.0673,6,4,22733.41
AK576,3,29.6,0,375.75,0.0661,6,5,34320.58
AK702,2,64.4,1,463.66,0.2795,3,7,23302.78
AK739,3,17.45,1,345.04,0.2371,0,4,22413.82
AK746,1,40.41,1,480.19,0.1878,1,4,34238.9
AK781,1,100.4,1,672.14,0.5579,7,7,110979.13
AK798,1,21.59,1,575.88,0.606,6,5,131217.55
AK819,5,42.09,1,275.65,0.4896,5,4,79726.67
AK916,1,124.56,1,635.03,0.0636,8,8,28998.43
AK988,6,2.51,0,39.99,0.0413,2,3,2807.45
AL031,4,49.91,0,369.44,0.0744,1,3,73097.22
AL054,2,36.47,1,345.15,0.3069,7,6,30016.5
AL117,5,49.61,1,171.79,0.3441,2,4,54082.35
AL206,3,34.54,1,345.13,0.2032,4,5,24556.67
AL300,5,78.49,1,297.2,0.2025,7,6,12875.17
AL483,2,134.63,1,478.6,0.1767,2,8,15421.86
AL708,6,1.35,1,46.38,0.019,15,7,11241.45
AL759,4,51.12,1,292.71,0.2757,9,7,20416.55
AL763,5,14.84,0,153.69,0.0781,3,3,16489.12
AL784,5,16.61,1,191.42,0.346,7,7,16059.97
AL800,1,23.05,1,532.15,0.4077,2,3,55812.88
AL814,1,43.3,0,496.11,0.0315,0,3,22496.24
AL828,4,33.26,1,339.74,0.0006,3,5,13610.57
AL860,2,50.86,1,410.75,0.3967,4,4,20979.04
AL881,2,26.45,1,442.04,0.0681,7,6,32426.1
AL910,1,60.54,1,618.37,0.0317,5,6,40700.96
AM004,3,12.7,1,359.06,0.3293,17,6,12852.69
AM010,5,58.04,1,246.45,0.1145,4,5,10224.02
AM116,1,13.68,1,628.05,0.398,28,7,32310.13
AM146,1,63.75,1,580.79,0.2907,0,5,23198.49
AM235,4,26.11,1,303.47,0.0452,26,8,8184.89
AM257,2,125.0,1,549.17,0.3006,19,7,19133.32
AM389,2,14.67,1,397.59,0.1639,7,5,25991.5
AM430,2,27.0,1,312.91,0.0525,18,7,11687.26
AM585,2,48.29,0,334.5,0.0081,4,4,35857.54
AM610,2,58.38,1,471.46,0.0596,30,9,29977.07
AM870,2,102.77,1,388.6,0.1607,16,7,7112.02
AM964,6,0.37,1,34.74,0.0338,13,5,8692.91
AN029,1,21.87,0,400.85,0.0491,7,3,20880.75
AN114,4,15.63,1,335.55,0.0064,28,8,17620.62
AN302,1,48.52,1,448.71,0.4462,25,7,44423.99
AN368,1,45.39,1,491.55,0.2663,9,4,14977.12
AN478,2,62.59,1,429.61,0.0022,1,5,8793.8
AN646,6,5.0,1,46.19,0.2837,23,6,55050.58
AN684,5,61.86,1,261.4,0.0997,10,8,20143.45
AN703,5,33.88,1,276.25,0.2834,19,8,10791.76
AN756,3,40.49,0,366.5,0.2501,5,4,14235.3
AN770,1,59.66,1,581.4,0.5019,11,7,37106.75
AN933,5,42.2,0,208.34,0.0664,4,2,33758.85
AO052,1,89.15,1,635.92,0.3689,26,8,87962.66
AO076,5,45.29,1,239.74,0.5751,4,5,59154.65
AO164,1,118.9,1,582.61,0.1087,11,7,11344.92
AO176,1,143.7,1,575.56,0.5922,0,7,42234.91
AO178,2,52.05,1,518.81,0.3112,18,7,22146.84
AO409,4,12.1,0,307.0,0.1004,6,4,17291.94
AO521,4,15.06,1,340.41,0.0252,19,7,4858.83
AO527,4,28.15,1,376.56,0.2224,15,6,10663.41
AO597,5,66.91,1,271.62,0.0206,21,8,3375.63
AO682,4,56.35,1,353.74,0.04,20,8,11408.72
AO708,1,100.62,1,495.6,0.0219,4,7,9576.15
AO715,1,37.2,1,605.12,0.3476,23,6,29044.45
AO882,1,64.41,1,468.6,0.1543,1,4,38669.4
AO997,1,23.13,1,533.55,0.0033,1,4,16656.52
AP153,6,0.64,1,43.36,0.632,4,4,30337.9
AP298,1,63.99,1,513.96,0.0921,5,7,11408.52
AP310,2,107.06,0,533.16,0.226,7,6,9943.97
AP334,1,30.48,0,645.76,0.3444,0,2,38549.09
AP420,4,31.69,1,306.65,0.0013,23,8,11670.42
AP436,3,39.61,0,333.2,0.1337,1,3,47770.83
AP451,1,45.59,1,427.78,0.1996,17,7,28594.95
AP601,5,51.35,1,325.72,0.1211,2,4,10789.38
AP624,1,44.83,1,381.64,0.0625,21,7,8775.35
AP727,1,22.89,0,529.58,0.8918,4,3,109851.41
AP798,1,27.28,1,440.92,0.1607,7,6,7466.87
AP845,2,41.95,1,323.6,0.1096,4,7,20068.81
AP851,1,40.04,1,378.15,0.1972,1,5,26793.22
AP899,6,2.64,1,53.69,0.0095,18,7,3717.14
AP989,1,88.67,1,522.86,0.1317,7,8,21312.11
AQ134,4,16.97,0,255.03,0.0839,1,2,8266.6
AQ153,3,20.89,1,395.07,0.0311,18,6,21670.88
AQ187,1,21.37,1,432.58,0.399,6,6,48743.28
AQ363,1,114.53,1,571.98,0.4563,0,8,8635.27
AQ365,1,45.0,1,641.79,0.0056,18,8,8699.83
AQ419,4,25.49,0,373.47,0.1004,1,3,47730.71
AQ475,1,111.69,1,543.36,0.2223,27,9,12847.3
AQ497,1,34.19,1,450.0,0.0394,4,6,47609.26
AQ569,6,2.28,1,53.38,0.5947,17,6,20810.79
AQ599,2,101.68,1,441.74,0.055,12,7,14055.6
AQ851,3,34.28,0,431.34,0.3689,19,4,54941.85
AQ905,6,1.21,1,39.38,0.0651,2,4,8002.53
AQ913,2,48.11,1,436.62,0.1311,7,8,33784.29
AQ979,2,61.64,1,483.44,0.4904,29,9,25806.31
AR012,1,37.41,1,667.32,0.0126,7,6,25493.17
AR044,1,35.06,1,504.59,0.5689,13,7,22649.32
AR121,2,10.96,1,260.93,0.2198,4,5,43102.34
AR127,1,58.29,0,619.19,0.1992,21,8,16866.75
AR219,2,39.43,1,385.01,0.2093,3,4,18626.33
AR371,3,9.97,1,254.85,0.0277,6,5,8553.71
AR457,1,54.9,1,620.76,0.0073,7,6,17613.41
AR566,4,11.45,1,223.01,0.0855,4,6,16530.85
AR635,1,48.13,1,410.08,0.3301,2,5,18202.87
AR690,5,33.55,0,241.11,0.4753,8,5,42430.72
AR853,4,20.43,1,311.18,0.247,7,4,18425.58
AR871,5,38.12,1,322.52,0.0152,0,5,14796.5
AR895,3,22.8,1,334.65,0.1293,3,6,19382.1
AR926,2,106.21,1,441.15,0.1018,4,7,11451.84
AR932,1,72.8,1,413.55,0.0038,22,8,29724.18
AS006,2,59.48,1,442.74,0.0976,6,6,5584.49
AS155,1,84.75,1,631.75,0.0222,11,8,8931.94
AS191,2,116.4,0,531.78,0.1115,1,5,19285.87
AS233,3,12.49,1,262.21,0.0749,12,7,13286.56
AS324,1,121.5,0,515.88,0.2456,18,9,15612.0
AS344,3,9.86,1,298.13,0.1497,0,4,32866.0
AS486,2,52.82,1,569.02,0.0679,7,6,19962.36
AS499,2,15.48,1,394.42,0.0179,1,5,25071.23
AS569,4,25.41,1,361.0,0.1169,5,7,43812.06
AS626,5,9.12,0,173.68,0.6281,0,4,36091.24
AS652,3,19.43,1,244.85,0.0359,11,6,32665.53
AS680,1,98.73,1,789.87,0.0007,28,9,13124.0
AS835,3,39.05,0,341.73,0.052,7,3,17336.72
AS933,2,77.92,1,482.79,0.105,27,9,33483.09
AS953,1,55.22,1,362.51,0.0426,0,5,16738.77
AT012,1,44.93,1,453.01,0.2942,7,6,22260.23
AT082,2,34.76,1,341.62,0.2685,1,5,26047.87
AT099,1,49.41,0,457.85,0.3538,3,3,57609.86
AT125,3,64.53,1,387.8,0.2729,3,6,19748.46
AT186,1,65.53,0,464.95,0.1523,5,4,30119.13
AT370,1,31.47,1,528.66,0.251,2,5,26689.86
AT595,2,73.31,1,547.72,0.0017,27,9,33518.0
AT720,1,84.2,1,420.39,0.054,7,6,13977.53
AU050,2,30.17,0,448.68,0.0495,19,5,6960.95
AU147,4,44.57,0,315.73,0.3038,6,4,14773.01
AU257,2,21.52,1,378.4,0.117,3,5,12345.33
AU343,5,16.69,0,242.41,0.2968,3,2,43791.74
AU382,2,32.98,1,463.69,0.0367,17,7,11314.16
AU436,1,55.68,1,521.49,0.1941,5,6,11864.53
AU494,2,102.89,1,476.44,0.2596,5,5,34703.37
AU506,2,113.17,1,439.52,0.5199,9,7,33479.32
AU609,5,25.94,1,243.06,0.049,7,6,8948.59
AU627,1,115.91,0,782.42,0.2048,2,5,33985.24
AU684,1,62.69,1,539.85,0.024,1,4,11896.59
AU745,2,43.81,1,349.48,0.249,9,6,60377.61
AU778,2,29.29,1,484.57,0.0408,5,5,23376.33
AU863,5,7.38,1,156.04,0.1594,4,5,6685.19
AU902,4,21.93,1,336.86,0.4078,6,4,51031.57
AU918,1,24.61,0,439.67,0.0482,29,7,8660.65
AU919,3,29.06,1,330.28,0.5407,5,5,88615.75
AU930,3,13.58,0,411.07,0.3357,5,2,138247.79
AU976,2,28.82,1,354.2,0.1361,2,5,40524.31
AV037,1,148.55,0,685.77,0.2195,0,5,13914.73
AV125,2,21.26,0,464.19,0.0983,0,3,21581.42
AV338,3,20.98,1,427.37,0.5061,25,7,47234.57
AV643,6,0.7,1,61.31,0.1669,17,5,14354.16
AV685,2,27.54,1,549.66,0.0031,7,4,8825.79
AV817,2,114.56,1,540.75,0.1301,2,7,13166.59
AV834,6,0.88,1,49.45,0.3917,5,4,16143.01
AV918,3,16.87,0,421.47,0.1991,20,5,12862.03
AW137,1,63.01,1,543.59,0.161,23,8,3385.04
AW138,1,62.77,1,544.3,0.1701,23,8,6783.86
AW214,6,0.57,1,48.66,0.0674,4,4,39127.68
AW250,2,55.19,0,420.08,0.1961,3,5,60346.36
AW304,3,25.91,1,319.15,0.2028,20,6,14584.66
AW392,4,31.36,1,443.29,0.5977,4,4,96113.54
AW438,2,63.92,1,602.97,0.6383,13,6,44675.96
AW439,2,179.38,1,628.18,0.0206,3,9,12131.05
AW494,3,36.36,1,353.43,0.3859,5,5,19856.68
AW695,1,43.13,1,596.31,0.5561,7,5,174729.13
AW719,1,63.22,1,376.26,0.1901,6,7,41767.22
AW750,1,18.28,1,447.89,0.1516,0,4,24628.82
AW822,3,31.78,1,410.9,0.1873,3,3,43066.83
AW894,2,39.47,1,555.36,0.0225,5,7,13569.12
AW903,2,41.67,1,378.94,0.0072,6,4,24052.12
AW927,4,64.89,1,343.73,0.0011,5,7,6219.86
AW970,2,83.36,1,476.22,0.2111,7,8,10397.92
AX000,6,1.79,0,31.71,0.0044,4,3,13563.83
AX131,1,81.39,1,443.86,0.1254,4,6,46633.29
AX209,5,76.8,1,159.62,0.3317,0,5,31287.19
AX303,4,20.64,1,388.75,0.3591,18,8,19508.07
AX366,4,34.67,1,302.9,0.0211,6,5,34075.01
